ID,Name,Win,Loss,Draw,height,stance,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
813,Kelly Dullanty,4,2,0,5' 8,1,0,0,0.67,75,0,0,66,0
814,Sedriques Dumas,10,2,0,6' 2,1,2.15,48,2.03,58,1.31,35,40,0.3
815,Norma Dumont,12,2,0,5' 7,1,3.86,50,2.16,65,1.72,56,72,0
816,Chris Duncan,12,2,0,5' 10,1,4.7,46,4,48,3.53,37,33,0.3
817,Christian Leroy Duncan,10,2,0,6' 2,2,4.71,62,3.57,49,0.31,14,64,0
818,Evan Dunham,18,9,1,5' 10,3,5.33,39,3.54,61,1.82,33,79,1
819,Alex Dunworth,2,2,0,5' 8,0,1.94,31,8.71,35,0,0,50,0
820,Tom Duquesnoy,16,2,0,5' 7,1,3.83,45,5.3,62,0.42,25,46,0
821,Albert Duraev,16,5,0,5' 11,1,2.99,40,3.01,59,1.97,29,66,0.6
822,Reuben Duran,11,7,1,5' 7,1,3.19,49,2.61,50,0.98,23,25,0.7
823,Cody Durden,17,7,1,5' 7,3,3.52,45,4.29,49,4.06,47,73,0.8
824,Luiz Dutra,13,6,1,5' 11,1,3.92,50,4.8,41,0,0,100,0
825,Rilley Dutro,11,4,0,5' 8,1,4.74,54,5.95,33,0,0,83,0
826,Bill Duvall,1,2,0,6' 2,3,0,0,2.4,40,0,0,0,0
827,Merab Dvalishvili,19,4,0,5' 6,1,4.36,42,2.51,56,5.89,35,82,0.3
828,David Dvorak,20,6,0,5' 5,1,3.48,43,3.29,59,0.58,30,70,0.2
829,Matt Dwyer,9,4,0,6' 4,1,2.57,34,3.24,54,0.44,10,60,0
830,Rolando Dy,9,7,1,5' 8,1,3.04,37,4.47,52,0.3,20,68,0
831,Ben Earwood,12,3,0,5' 8,1,0.5,55,0.2,33,3,100,0,0
832,Cody East,12,3,0,6' 3,1,4.15,43,7.32,40,3.97,100,16,0
833,Marvin Eastman,18,15,1,5' 9,1,2.21,35,3.92,42,1.38,33,81,0
834,Mike Easton,13,6,0,5' 6,3,3.51,37,4.28,61,0.75,22,66,0
835,Ross Ebanez,20,10,0,5' 9,3,0.74,50,0.74,62,3.7,100,0,0
836,Brian Ebersole,51,18,1,6' 0,3,2.32,49,2.14,56,1.7,23,61,0.1
837,Roybert Echeverria,7,1,0,5' 5,2,2.95,53,2.52,57,0,0,71,2.6
838,Mark Eddiva,6,3,0,5' 8,1,3.37,45,2.98,54,1.45,22,63,0
839,Frankie Edgar,23,11,1,5' 6,1,3.77,40,2.82,65,2.29,31,65,0.3
840,Abdul-Kerim Edilov,17,4,0,6' 2,1,10.22,61,0.13,92,3.98,100,0,2
841,Johnny Eduardo,28,13,0,5' 7,1,2.95,39,3.22,63,0.22,20,58,0.4
842,Yves Edwards,42,22,1,5' 9,3,2.91,42,2.34,66,0.76,53,69,0.7
843,Justin Edwards,9,5,0,5' 10,1,2.68,42,3.32,51,2.14,26,27,1
844,Leon Edwards,22,4,0,6' 2,3,2.68,53,2.37,53,1.25,36,65,0.4
845,Te Edwards,6,3,0,5' 8,1,1.5,41,4.15,44,0.72,100,44,0
846,Joselyne Edwards,14,6,0,5' 8,1,4.48,52,3.19,49,1.23,39,61,0.6
847,Tom Egan,7,5,0,5' 11,1,0,0,3.91,50,0,0,28,0
848,Stephanie Egger,8,5,0,5' 6,1,2.2,46,2.48,52,2.48,42,50,0.6
849,Justin Eilers,19,7,1,6' 1,1,2.86,43,5.66,49,0.82,25,50,0
850,Jon Olav Einemo,6,3,0,6' 6,1,2.15,52,3.05,52,1.73,55,43,0
851,Per Eklund,14,5,1,5' 10,1,2.07,61,2.38,67,2.07,11,50,3.6
852,Evan Elder,9,2,0,5' 10,2,5.02,49,4.79,57,0.63,20,33,0.6
853,Billy Elekana,7,2,0,6' 3,3,2.34,71,5.5,33,1.75,100,0,0
854,Joao Elias,17,4,1,5' 3,3,0.4,50,6.47,20,0,0,50,0
855,Saul Elizondo,6,8,0,5' 7,0,2.07,30,4.93,48,2,100,66,1
856,Darren Elkins,29,11,0,5' 10,1,3.4,38,3.22,51,2.86,34,56,1.1
857,Jake Ellenberger,31,15,0,5' 9,1,2.47,39,2.83,60,2.04,47,86,0.4
858,Joe Ellenberger,15,2,0,5' 9,1,1.62,47,3.45,48,3.17,40,0,1.1
859,Tim Elliott,21,13,1,5' 7,3,3.39,44,2.66,56,3.73,47,59,1
860,Oban Elliott,12,2,0,6' 0,1,4.26,49,2.25,62,2.16,50,72,0
861,Eddy Ellis,21,16,1,5' 9,1,3.4,69,1.53,68,4,66,50,2
862,Lisa Ellis,15,11,0,5' 4,0,1.68,48,2.32,57,4.19,63,50,0.6
863,Anna Elmose,3,2,0,5' 3,1,3.68,49,4.64,56,0,0,33,0
864,Cameron Else,10,6,0,5' 9,2,1.99,40,8.09,51,0,0,0,0
865,Aaron Ely,5,2,0,5' 8,0,0.82,15,0.66,69,2.47,100,50,4.9
866,Ramazan Emeev,20,6,0,5' 10,3,2.53,45,2.14,65,2.37,29,66,0.7
867,Aleksander Emelianenko,23,7,0,6' 6,1,2.75,41,1.7,65,2.32,72,66,0.9
868,Fedor Emelianenko,36,5,0,6' 0,1,3.18,51,1,63,2,63,82,1.9
869,Rob Emerson,18,12,0,5' 9,1,2.5,30,2.83,64,2.02,52,65,0.4
870,Jamall Emmers,20,8,0,5' 10,1,5.3,48,4.05,57,1.83,40,90,0.2
871,Josh Emmett,19,4,0,5' 6,1,4.04,36,4.61,61,0.91,37,46,0.1
872,Marius Enache,3,3,0,5' 11,0,1.71,34,0.66,84,3.94,100,0,3.9
873,Kolton Englund,9,4,0,5' 10,1,2.31,25,11.54,40,0,0,0,0
874,Oliver Enkamp,7,2,0,6' 0,2,2.38,36,3.55,37,0.87,16,0,0
875,Kenny Ento,14,15,0,6' 2,0,8.41,79,0,100,5.49,100,0,11
876,Ian Entwistle,9,3,0,5' 5,1,0.11,7,7.36,31,0,0,0,12.1
877,Andy Enz,10,4,0,6' 3,1,3.51,23,5.32,57,0,0,58,0
878,Won Jin Eoh,5,5,1,5' 7,1,3.74,44,3.58,46,0,0,50,0
879,Abdellah Er-Ramy,7,2,0,6' 0,1,0,0,8.4,0,0,0,0,0
880,Steve Erceg,12,3,0,5' 8,1,4.37,48,4.22,53,1.16,26,60,0.5
881,Tom Erikson,9,4,1,6' 3,1,0.94,47,1.87,25,4.68,60,100,6.2
882,Konstantin Erokhin,9,3,0,5' 11,1,1.07,36,1.83,47,0,0,70,0
883,Julian Erosa,30,12,0,6' 1,3,6.18,48,6.31,48,1.69,48,58,0.8
884,Jarno Errens,14,6,1,5' 11,1,3.29,44,3.29,61,0,0,33,0.3
885,Ivan Erslan,14,4,0,6' 2,1,2.6,56,3,62,1,50,75,0
886,Nick Ertl,8,6,0,5' 9,0,1.34,69,1.59,41,1.88,50,0,0
887,Chel Erwin-Davis,5,1,0,6' 0,0,4.06,54,1.13,61,4.25,100,50,1.4
888,Eric Esch,15,10,1,5' 11,1,3.07,71,1.74,43,0,0,0,2
889,Cole Escovedo,17,9,0,5' 7,1,1.77,43,4.32,49,0.43,33,13,0
890,Efrain Escudero,28,12,0,5' 9,1,2.92,44,2.3,63,1.31,40,66,0.8
891,Carla Esparza,20,8,0,5' 1,1,2.19,39,2.87,54,3.28,36,47,0.3
892,Juan Espino,11,2,0,6' 3,1,2.38,70,1.95,40,8.93,78,50,2.4
893,Jordan Espinosa,15,9,0,5' 6,1,4.22,52,2.94,57,0.75,28,70,0.2
894,Jodie Esquibel,6,6,0,5' 1,1,4.1,31,7.37,52,0.75,21,83,0
895,Rafael Estevam,12,0,0,5' 8,1,2.94,64,3.35,34,3.35,19,0,0.7
896,Achilles Estremadura,7,1,0,5' 10,1,3.2,43,3.27,70,0,0,0,0
897,Shaun Etchell,7,3,0,5' 7,2,0,0,0,0,4.37,100,100,0
898,Terry Etim,16,5,0,6' 1,1,2.16,35,2.53,67,0.43,30,39,1.4
899,Scott Ettling,4,2,0,0,0,0,0,0.54,83,8.04,100,0,0
900,Sijara Eubanks,8,7,0,5' 4,1,4.3,43,3.43,57,1.9,44,66,0.3
901,Billy Evangelista,13,3,0,5' 8,1,4.51,40,3.96,61,1.6,19,61,0.2
902,Rashad Evans,19,8,1,6' 0,1,2.14,37,2.42,63,2.98,44,73,0
903,Doug Evans,13,10,0,5' 9,1,1.79,35,2.55,55,3.19,83,69,0.6
904,Ashlee Evans-Smith,6,6,0,5' 8,1,4.03,34,4.59,53,0.95,22,50,0
905,Dan Evensen,11,4,0,6' 3,1,0.27,10,3.86,38,0,0,0,4
906,Tonya Evinger,19,8,0,5' 7,1,1.16,42,4.02,38,0.93,30,33,0.9
907,Movsar Evloev,19,0,0,5' 7,1,3.99,48,2.66,60,4.67,48,61,0.2
908,Andre Ewell,17,9,0,5' 8,3,4.28,40,4.87,51,0.36,75,72,0.1
909,Neal Ewing,6,0,0,0,0,2.27,60,1.93,48,5,62,0,0
910,Jessica Eye,15,11,0,5' 6,1,3.86,37,4.19,55,0.58,40,57,0.5
911,Edward Faaloloto,2,5,0,0,1,2.28,32,6.25,44,1.01,25,33,0
912,Urijah Faber,35,11,0,5' 6,1,2.65,40,2.59,64,1.54,30,58,0.8
913,Melinda Fabian,4,4,2,5' 6,1,4.03,41,4,62,0,0,100,0
914,Wagnney Fabiano,16,4,0,5' 6,3,1.19,38,0.66,70,3.44,64,100,0.4
915,Bartosz Fabinski,15,5,0,6' 0,1,2.23,68,1.46,51,7.1,70,80,0
916,Ron Faircloth,33,20,0,5' 9,1,0.39,40,8.9,42,0,0,0,0
917,Zarah Fairn,6,6,0,5' 8,1,4.55,31,7.4,45,0,0,60,0
918,Rinat Fakhretdinov,23,1,1,6' 0,1,4.78,52,3.58,53,3.95,34,91,0.2
919,Maiquel Falcao,37,10,0,5' 11,1,1.67,55,0.53,86,1,100,71,3
920,Pedro Falcao,16,4,0,5' 6,1,2.9,48,2.63,48,2.07,22,83,0
921,Brodie Farber,16,7,0,6' 1,1,1.69,45,2.17,53,0.9,50,20,0.9
922,Joao Paulo Faria,1,1,0,5' 9,0,6.69,64,2.09,85,1.25,50,0,1.2
923,Kalindra Faria,18,8,1,5' 7,2,2.23,56,1.44,45,1.31,66,20,0.7
924,Jair Farias,10,1,0,6' 1,1,3.8,39,5.33,51,0,0,41,0
925,Chance Farrar,8,3,0,5' 9,3,0.81,22,2.21,67,3.02,100,0,0
926,Rico Farrington,7,3,0,6' 4,3,6.33,41,7.2,51,0,0,20,0
927,Kelly Faszholz,4,2,0,5' 8,1,4.01,48,3.61,52,0,0,44,0
928,Rodney Faverus,25,20,3,6' 0,3,2.3,53,1.6,54,4.5,100,25,0
929,Paul Felder,17,6,0,5' 11,1,3.7,44,3.44,48,0.29,28,64,0.2
930,Carlos Felipe,11,2,0,6' 0,1,4.88,45,5.6,50,0,0,72,0
931,Feng Xiaocan,10,3,0,5' 7,3,5.43,50,1.76,73,1.08,100,66,0
932,Kevin Ferguson,5,2,0,6' 2,1,2.3,50,3.41,38,3.1,72,36,1.2
933,Tony Ferguson,26,11,0,5' 11,1,4.91,45,4.37,55,0.39,35,66,0.9
934,Josh Ferguson,10,5,0,5' 5,1,2.13,43,4.18,32,0.59,11,54,0
935,Bibiano Fernandes,20,3,0,5' 7,1,2.91,40,2.02,72,3.97,53,77,0.6
936,Gabriella Fernandes,10,3,0,5' 6,3,3.46,46,5.5,49,0.56,18,60,0.3
937,Kaue Fernandes,9,2,0,5' 9,1,3.04,57,0.86,66,0.76,100,62,0
938,Lucas Fernando,9,2,0,6' 3,0,1.87,51,4.73,38,3,30,0,1
939,Alexandre Ferreira,18,6,0,5' 7,1,2.57,60,8.14,42,0,0,0,0
940,Cezar Ferreira,13,8,0,6' 1,3,1.9,42,2.44,53,2.69,53,84,0.5
941,Diego Ferreira,19,6,0,5' 9,1,4.82,40,3.46,55,0.86,30,57,0.6
942,Erisson Ferreira,12,2,0,5' 6,1,1.75,32,2.75,56,1.11,100,66,1.7
943,Brunno Ferreira,12,2,0,5' 10,1,3.76,50,3.12,52,0.5,16,53,0.5
944,Andre Fialho,16,8,0,6' 0,1,3.3,41,6.26,45,0.25,100,66,0
945,Drew Fickett,42,21,0,5' 10,1,2.33,41,2.29,57,1.3,35,30,2.2
946,Ron Fields,28,32,1,6' 2,1,0.33,33,2.64,11,0,0,0,0
947,Michal Figlak,8,2,0,5' 10,1,4,39,4.93,52,0.5,12,57,0
948,Deiveson Figueiredo,24,4,1,5' 5,1,2.91,54,3.55,49,1.62,34,60,1.4
949,Francisco Figueiredo,13,5,1,5' 6,3,2.04,61,2.59,61,2.51,75,76,0.4
950,Anthony Figueroa,11,8,1,5' 4,1,2.37,48,3.77,49,0,0,58,0
951,Edwin Figueroa,9,5,0,5' 7,1,2.57,39,3.06,51,0.2,100,37,0.6
952,Paulo Filho,23,6,3,5' 8,3,1.86,48,1.67,66,2.4,32,42,1.6
953,Jafel Filho,16,3,0,5' 7,1,2.36,41,2,47,1.77,33,55,2.6
954,Andre Fili,24,11,0,5' 11,1,3.88,37,4.11,51,2.15,43,70,0.2
955,Mirko Filipovic,35,11,2,6' 2,3,2.11,50,1.89,63,0.19,40,78,0.3
956,Brady Fink,2,3,0,6' 0,1,1.69,41,1.69,61,3.63,25,0,3.6
957,Jan Finney,11,12,0,5' 8,1,2.16,28,8.75,42,0.77,11,25,0
958,Torrez Finney,10,0,0,5' 8,1,2.6,70,1.86,50,10.04,69,0,1.7
959,Luigi Fioravanti,26,15,0,5' 8,1,2.23,42,2.21,69,3.76,63,67,0.9
960,Nick Fiore,6,2,0,5' 10,1,2.83,46,7.93,42,2.5,45,71,0
961,Manon Fiorot,12,1,0,5' 7,1,6.26,41,3.77,68,1.17,42,93,0
962,Luiz Firmino,19,8,0,5' 6,1,1.23,50,1.22,51,3.86,45,20,0.9
963,Spencer Fisher,24,9,0,5' 7,3,3.17,43,3.03,64,0.67,30,60,0.8
964,Chris Fishgold,18,4,1,5' 8,1,2.01,32,2.7,46,2.59,46,44,1.3
965,Bryanna Fissori,2,4,0,5' 4,0,1.4,46,1.2,57,2,25,50,0
966,Jon Fitch,30,7,1,6' 0,1,2.61,50,1.65,54,3.6,51,56,0.8
967,Rafael Fiziev,12,3,0,5' 8,2,4.9,51,4.97,49,0.29,40,89,0
968,Colin Fletcher,14,8,0,6' 2,1,3.1,34,2.97,62,0,0,27,0
969,AJ Fletcher,10,3,0,5' 10,2,3.36,49,4.61,46,1.54,35,33,0.9
970,Nathan Fletcher,9,1,0,5' 7,1,2.25,70,0.96,40,9.63,66,0,2.4
971,Jimmy Flick,17,8,0,5' 7,1,1.94,50,5.43,43,1.55,21,0,4.3
972,Luke Flores,9,2,0,6' 0,3,1.56,44,1.88,60,0,0,40,1.2
973,Ty Flores,7,3,0,6' 3,2,2,37,7.8,25,1,9,0,0
974,Alejandro Flores,17,3,0,5' 10,1,3.66,40,2.02,54,0,0,0,0
975,Kenny Florian,14,6,0,5' 10,3,2.41,40,1.85,63,2.22,33,60,1.3
976,Darrius Flowers,12,8,1,5' 9,1,3.07,49,5.49,44,0.98,28,63,0
977,Bobby Flynn,6,4,0,0,0,0.38,25,0.77,0,0,0,0,0
978,Caros Fodor,11,6,0,5' 9,1,2.76,54,2.83,54,2.1,25,50,0
979,Mal Foki,5,5,0,5' 7,1,2.86,14,14.29,54,0,0,0,0
980,Matt Foki,5,4,0,5' 7,1,0,0,3.37,56,0,0,0,0
981,Rob Font,21,8,0,5' 8,1,5.44,45,3.58,57,0.84,34,44,0.3
982,Claudionor Fontinelle,10,15,1,5' 5,1,2.62,42,10.25,28,0,0,0,0
983,Jesse Forbes,15,5,0,6' 2,3,2.11,24,4.06,53,1.79,75,66,1.2
984,Raheam Forest,7,2,0,5' 11,2,5.32,38,12.15,42,0,0,0,0
985,Jussier Formiga,23,8,0,5' 5,1,1.42,39,2.34,64,1.82,35,87,0.6
986,Renee Forte,8,4,0,5' 7,1,2.08,32,2.12,63,2.32,58,66,0
987,Brianna Fortino,9,3,0,5' 0,3,3.53,41,3.23,57,2.5,45,66,0
988,Marcel Fortuna,9,3,0,6' 1,1,3.83,46,4.52,64,0.45,8,75,0.5
989,Brian Foster,27,10,0,5' 9,1,3.3,39,1.63,65,3.67,60,37,1.8
990,Xavier Foupa-Pokam,32,22,0,6' 1,4,1.47,43,2.5,49,0,0,16,0
991,Brandon Foxworth,18,4,0,5' 11,1,1.33,32,4.59,50,0,0,0,0
992,Hermes Franca,24,17,0,5' 6,1,1.78,39,2.85,55,1.53,36,37,2.4
993,Glaico Franca Moreira,15,5,0,6' 0,1,2.35,42,3.46,47,2.68,42,76,0.3
994,Francisco France,13,5,1,6' 0,0,0.54,33,3.51,27,0,0,0,6.1
995,John Franchi,6,2,0,5' 6,1,1.83,48,2.59,48,2.68,80,40,0.3
996,Rich Franklin,29,7,0,6' 1,3,4.1,44,2.07,62,1.31,66,63,0.7
997,Xavier Franklin,5,1,0,5' 6,3,3.07,33,5.27,50,0,0,100,0
998,Zoila Frausto,13,5,0,5' 4,1,0.77,31,1.64,53,0,0,57,0
999,Stephanie Frausto,8,7,0,5' 2,1,1.43,21,3.57,60,0,0,0,0
1000,Gary Frazier,3,3,0,6' 0,1,1.5,39,2.77,46,0,0,100,0
1001,Justin Frazier,10,3,0,6' 0,3,1.11,66,6.11,4,0,0,0,0
1002,Ian Freeman,20,7,1,5' 11,1,2.54,48,3.11,44,1.44,40,80,0.7
1003,Willamy Freire,26,6,0,5' 8,1,1.53,37,0.93,62,0.5,100,73,0
1004,Patricio Freire,26,4,0,5' 5,0,2.84,41,4.43,60,0.6,18,94,0.6
1005,Patricky Freire,17,8,0,5' 7,0,3.06,44,3.34,69,1.26,33,100,0
1006,Jeremy  Freitag,6,10,0,6' 1,0,0,0,8.37,19,0,0,33,1.9
1007,Rafael Freitas,3,6,0,0,1,2,29,8,51,11.25,50,0,0
1008,Donavon Frelow,6,3,0,5' 7,1,2.4,27,3.2,52,1,100,26,0
1009,Josh Fremd,11,6,0,6' 4,1,2.52,44,2.23,47,0.66,25,30,1.1
1010,Clay French,19,7,0,5' 7,3,1.52,50,1.27,16,0,0,100,0
1011,Mike French,9,10,0,5' 10,0,0.23,23,2.17,42,0,0,22,1
1012,Matt Frevola,11,5,1,5' 9,1,3.37,40,3.69,57,2.39,39,36,1
1013,Jinh Yu Frey,11,10,0,5' 3,3,2.97,43,4.23,52,1.02,36,90,0.3
1014,Sarah Frota,9,2,0,5' 6,3,4.52,52,2.57,55,0,0,53,0
1015,Daniel Frunza,9,2,0,6' 1,1,4.94,44,5.53,51,0,0,60,0
1016,Don Frye,20,9,1,6' 1,1,2.87,64,3.57,37,0.91,57,45,0.7
1017,Tony Fryklund,14,9,1,6' 0,1,3.49,39,6.5,43,0,0,66,0.5
1018,Adam Fugitt,10,4,0,6' 1,3,4.72,45,4.48,51,2.04,29,50,0
1019,Jesse Fujarczyk,2,2,0,6' 4,3,1.03,33,4.91,38,0,0,25,0
1020,Katsuhisa Fujii,9,18,1,6' 0,1,4,50,4.43,64,2.14,25,50,2.1
1021,Megumi Fujii,26,3,0,5' 3,0,2.4,42,0,100,0,0,0,12
1022,Kazuyuki Fujita,15,12,0,6' 0,1,1.05,49,1.99,52,2.78,36,85,0.6
1023,Keisuke Fujiwara,17,12,5,5' 6,2,0.73,44,1.2,47,0,0,23,2.5
1024,Riki Fukuda,24,9,0,6' 0,3,4.24,43,3.71,64,2.17,43,70,0
1025,Masio Fullen,11,7,0,5' 10,1,2.46,32,3.5,54,0.47,33,69,0
1026,Masakatsu Funaki,39,13,2,6' 0,3,1.82,68,2.92,35,0,0,0,5.5
1027,Ricardo Funch,9,6,0,5' 10,3,2.61,65,3.57,40,1.24,18,60,0
1028,Katsuaki Furuki,1,1,0,6' 0,0,0.27,10,2.67,39,0,0,0,3
1029,Gustavo Gabriel,13,1,0,5' 6,1,4.06,65,4.26,46,0,0,50,0
1030,Claudia Gadelha,18,5,0,5' 4,1,3.31,41,4.57,57,3.03,42,58,0.7
1031,Alavutdin Gadjiev,18,13,1,6' 2,1,0.99,27,0.99,57,0,0,50,0
1032,Magomed Gadzhiyasulov,9,1,0,6' 2,1,2.89,49,1.64,62,3.67,73,61,0
1033,Justin Gaethje,25,5,0,5' 11,1,6.78,59,7.46,52,0.11,25,75,0
1034,Sheila Gaff,9,7,0,5' 5,1,1.6,50,2.89,28,0,0,20,0
1035,Muin Gafurov,20,6,0,5' 7,1,2.89,45,2.21,52,1.47,26,70,0
1036,Mitch Gagnon,12,5,0,5' 5,3,2.76,46,2.21,61,1.16,25,65,1.9
1037,Travis Galbraith,18,7,0,6' 0,1,2.21,40,3.45,48,1.33,25,0,1.3
1038,Dave Galera,5,1,0,5' 11,1,1.67,69,0.53,33,0,0,14,2
1039,Zelg Galesic,11,9,0,6' 2,1,4.86,62,0.61,66,1.3,100,20,1.3
1040,Mickey Gall,7,7,0,6' 2,2,3.5,49,4.72,49,1.15,32,37,1.6
1041,Daniel Gallemore,7,3,0,6' 5,0,3.1,41,6,52,0,0,0,0
1042,Tom Gallicchio,19,10,0,5' 10,3,3.53,26,7.07,43,1,11,0,0
1043,Andre Galvao,5,2,0,5' 7,1,2.34,52,1.56,58,2.02,27,0,2.8
1044,Marcos Galvao,18,8,1,5' 7,1,1.97,32,3.86,61,2.27,28,88,1.1
1045,Lucas Gamaza,8,4,0,0,0,7.57,31,6.99,45,0,0,0,0
1046,Joey Gambino,9,2,0,5' 7,1,2.47,35,2.53,51,0,0,42,0.8
1047,Manvel Gamburyan,15,10,0,5' 5,1,2.13,41,2.83,55,3.26,34,69,0.7
1048,Mateusz Gamrot,24,3,0,5' 10,3,3.23,50,3.22,58,5.25,35,90,0.1
1049,Shamil Gamzatov,14,1,0,6' 2,1,5.35,48,3.46,51,0,0,50,0
1050,Ariel Gandulla,7,9,0,5' 11,1,1.95,23,2.07,72,1.88,66,0,0
1051,Ciryl Gane,13,2,0,6' 4,1,5.26,61,2.23,61,0.7,25,43,0.6
1052,Sean Gannon,2,1,0,6' 3,3,0,0,6.38,28,0,0,50,0
1053,Eduardo Garagorri,13,2,0,5' 9,1,3.42,51,2.36,58,0.48,100,61,0
1054,Cody Garbrandt,14,6,0,5' 8,1,2.98,40,3.76,60,1.03,34,80,0
1055,Leonard Garcia,18,13,1,5' 10,1,2.77,24,4.79,52,0.3,26,42,0.5
1056,Edgar Garcia,14,5,0,5' 10,1,3.16,29,4.23,60,2.21,57,50,0.6
1057,Alejandro Garcia,14,10,0,5' 7,0,1.22,62,1.14,65,8.55,87,66,0
1058,Alex Garcia,15,6,0,5' 9,1,1.81,31,3.03,59,3.72,52,66,0.1
1059,Nick Garcia,8,3,0,5' 4,0,0.67,25,3.03,50,0,0,83,5.1
1060,Steve Garcia,17,5,0,6' 0,3,5.04,56,2.34,46,1.17,40,88,0.6
1061,Elias Garcia,6,2,0,5' 5,3,1.59,27,5.05,50,0.68,14,33,1.4
1062,Rafa Garcia,16,4,0,5' 7,1,3.97,42,4.36,61,3.38,44,75,0.3
1063,Fernie Garcia,10,5,0,5' 7,1,2.04,34,3.79,48,0.28,50,50,0.6
1064,Rulon Gardner,1,0,0,6' 3,1,2.05,25,1.45,60,0.75,100,100,0
1065,David Gardner,18,21,0,5' 11,1,0.17,100,0.34,0,0,0,66,0
1066,Pablo Garza,12,4,0,6' 1,1,3.37,44,2.7,50,0.94,25,15,1.3
1067,Azamat Gashimov,8,3,0,5' 6,1,1.24,21,4.75,53,1.69,25,0,0
1068,Brian Gassaway,29,20,2,6' 1,1,0.34,26,3.65,44,0,0,42,0
1069,Kelvin Gastelum,19,9,0,5' 9,3,3.74,42,3.48,57,1.1,34,59,0.1
1070,Willie Gates,12,7,0,5' 8,1,1.8,38,4.28,38,0,0,67,0.4
1071,Melissa Gatto,9,2,2,5' 5,1,3.78,49,2.84,54,1.47,28,63,0.5
1072,Sean Gauci,10,1,0,5' 5,2,5.07,59,5.8,68,4,44,100,0
1073,Louis Gaudinot,8,4,0,5' 3,1,2.34,37,6.42,48,0.57,40,31,1.1
1074,Ateba Gautier,6,1,0,6' 4,2,5.33,71,1.22,56,0,0,90,0
1075,Shamil Gaziev,14,1,0,6' 4,1,2.43,49,3.72,44,1.03,30,100,0.3
1076,Charlene Gellner,0,4,0,5' 2,0,2.01,42,3.24,43,0,0,0,1.7
1077,Chad George,16,8,0,5' 6,3,1.26,50,1.11,65,3.08,46,0,1.3
1078,Paul Georgieff,6,2,0,6' 2,1,2.55,40,2.34,35,0,0,0,0
1079,Brian Geraghty,26,18,1,5' 7,1,0.47,25,9.77,36,0,0,50,0
1080,Karine Gevorgyan,3,3,0,5' 4,0,1.2,20,1.8,76,0,0,0,0
1081,Yanis Ghemmouri,12,3,0,5' 9,1,2.29,38,5.14,35,0,0,0,0
1082,Tiki Ghosn,10,7,1,5' 10,1,2.78,46,2.94,58,0.41,50,61,0
1083,Christos Giagos,20,12,0,5' 10,1,3.03,41,3.21,50,2.84,36,52,0.4
1084,Joe Giannetti,6,1,0,6' 0,3,1.93,38,2.8,40,1,16,0,0
1085,James Giboo,13,5,0,5' 11,1,1.2,27,7.08,39,0,0,0,0
1086,Lance Gibson,4,5,0,5' 9,1,1.21,75,6.44,20,0,0,0,0
1087,Cody Gibson,22,10,0,5' 10,1,3.47,44,3.36,57,2.18,40,68,0.7
1088,Chase Gibson,9,5,0,5' 10,1,3.13,54,6.4,52,0,0,0,0
1089,Thomas Gifford,14,9,0,6' 1,1,3.97,37,6.45,37,0.5,33,33,0
1090,Joseph Gigliotti,7,2,0,5' 11,1,1.04,39,2.92,45,1.56,100,50,0.8
1091,Joey Gilbert,2,3,0,5' 11,1,0.61,42,4.44,31,0,0,0,0
1092,Trevin Giles,16,7,0,6' 0,1,3.17,54,2.39,58,1.07,50,72,0.3
1093,Kultar Gill,12,8,0,6' 0,1,1.14,50,0.4,41,1.71,66,38,0
1094,Gregor Gillespie,14,1,0,5' 7,1,3.74,52,2.3,57,6.86,48,100,0.8
1095,Jason Gilliam,14,9,0,6' 0,1,0.79,33,3.14,42,0,0,0,0
1096,Micheal Gillmore,6,5,0,5' 11,1,2.04,57,3.02,43,0,0,50,0
1097,Alex Gilpin,11,1,0,5' 7,1,6.8,54,12.29,42,2.17,25,0,2.2
1098,Eperaim Ginting,6,1,0,5' 4,1,0,0,0,100,15.52,100,0,0
1099,Billy Giovanella,9,5,0,5' 8,0,1.27,40,2.02,52,0.87,12,100,1.7
1100,Brandon Girtz,14,7,0,5' 7,0,2.5,60,1.92,47,5.76,100,100,0
1101,Jason Glaza,3,2,0,6' 0,0,4.34,54,0.43,40,4.34,100,0,4.3
1102,Ricky Glenn,22,9,2,6' 0,3,3.79,42,4.3,51,0.72,13,69,0.4
1103,Mark Godbeer,13,4,0,6' 4,1,3.97,53,3.3,54,0,0,28,0
1104,Clint Godfrey,13,3,0,5' 6,3,0.57,31,0.96,65,0.85,25,50,0
1105,Loopy Godinez,12,5,0,5' 2,1,4.16,48,3.69,63,2.95,47,81,1
1106,Allan Goes,10,5,2,6' 0,1,0.64,52,1.35,41,1.75,40,0,2.6
1107,Billy Goff,9,3,0,5' 10,2,8.56,46,5.71,59,2.01,17,100,0
1108,Amiran Gogoladze,14,3,0,6' 1,2,1.64,66,0.82,0,0,0,0,0
1109,Hannah Goldy,6,4,0,5' 4,1,5.19,47,4.67,50,0.66,12,54,0.2
1110,Marcelo Golm,6,3,0,6' 3,1,4.27,58,4.3,45,0.45,50,87,0.5
1111,Denise Gomes,10,3,0,5' 2,1,4.55,50,3.11,51,0.72,25,67,0.9
1112,Sergio Gomez,10,3,0,5' 6,1,1.5,42,1.16,56,2.57,66,31,0
