Fighter1_ID,Fighter2_ID,Winner_ID,Method,Round
3430,1307,3430,"Decision (unanimous) (49–46, 49–46, 49–45)",5
1334,2789,1334,TKO (punches),2
1462,270,270,TKO (knee to the body and elbows),1
64,774,774,"Decision (split) (28–29, 30–27, 29–28)",3
3573,1737,1737,KO (slam),1
3046,2586,3046,TKO (punches),2
1444,3301,3301,KO (punch),1
3444,586,586,"Decision (unanimous) (30–27, 30–27, 30–27)",3
948,2477,948,Submission (guillotine choke),1
2939,1899,2939,"Decision (unanimous) (49–46, 49–46, 49–46)",5
2484,2032,2032,"Decision (unanimous) (30–27, 29–28, 29–28)",3
522,449,522,"Decision (unanimous) (30–27, 30–27, 30–27)",3
633,2763,633,TKO (submission to punches),2
2761,2161,2161,TKO (punches),1
408,3600,408,KO (punches),2
2940,670,2940,TKO (punches),2
2710,672,672,"Decision (unanimous) (30–27, 29–28, 29–28)",3
1519,1134,1519,"Decision (unanimous) (30–27, 30–27, 30–27)",3
689,3144,689,"Decision (unanimous) (30–27, 30–27, 30–26)",3
2408,613,2408,TKO (punches),3
929,780,780,"Decision (split) (47–48, 50–45, 50–45)",5
3564,2617,3564,KO (punch),1
1166,3637,3637,"Decision (unanimous) (30–26, 29–27, 29–27)",3
3160,67,3160,TKO (punches),2
1248,2024,2024,"Decision (unanimous) (29–28, 29–28, 29–28)",3
1932,2199,2199,"Decision (unanimous) (30–27, 30–27, 30–27)",3
705,1171,1171,"Decision (split) (30–27, 28–29, 29–28)",3
2167,2023,2167,"Decision (unanimous) (30–27, 30–27, 30–27)",3
1957,1988,1988,"Decision (unanimous) (30–27, 30–27, 29–28)",3
3249,2844,3249,Submission (rear-naked choke),3
145,343,145,"Decision (unanimous) (29–28, 29–28, 29–28)",3
3204,216,216,"Decision (unanimous) (30–27, 30–27, 30–27)",3
2998,541,541,TKO (head kick and punches),1
1030,3621,3621,"Decision (unanimous) (29–28, 29–28, 29–28)",3
1092,1781,1092,TKO (punches),3
2728,2719,2728,Technical Submission (forearm choke),1
358,1184,1184,TKO (doctor stoppage),3
1835,298,1835,Submission (rear-naked choke),1
1231,2963,1231,TKO (punches),4
954,2107,2107,"Decision (unanimous) (29–28, 30–27, 30–27)",3
1255,1180,1255,TKO (punches),2
1349,2366,1349,TKO (submission to slam),1
2124,1177,2124,"Decision (unanimous) (29–28, 29–28, 29–28)",3
1195,1309,1309,KO (punches),1
2714,3625,3625,KO (head kick),1
3160,1943,3160,"Decision (unanimous) (30–27, 30–27, 30–27)",3
3579,3563,3579,Submission (arm-triangle choke),2
1742,1449,1449,TKO (leg kicks and punches),1
2250,1481,1481,KO (punch),3
1033,2313,2313,Technical Submission (triangle choke),2
3545,468,3545,"Decision (unanimous) (29–28, 29–28, 29–28)",3
3461,1259,3461,TKO (body kick and punches),2
1911,1275,1275,KO (punches),1
2205,2929,2205,Submission (rear-naked choke),2
666,124,124,KO (punches),1
3163,3339,3339,KO (punches),1
1587,3587,1587,"Decision (unanimous) (29–28, 29–28, 30–27)",3
2349,2596,2596,Submission (guillotine choke),1
1499,1984,1984,TKO (doctor stoppage),1
90,3612,90,Submission (armbar),1
2370,1531,2370,"Decision (unanimous) (50–45, 50–45, 50–45)",5
114,522,114,TKO (body punches),1
645,415,645,KO (punches),1
1662,2975,1662,"Decision (unanimous) (30–27, 30–27, 30–27)",3
75,1952,1952,"Decision (unanimous) (30–27, 30–27, 30–27)",3
1048,1683,1683,"Decision (split) (29–28, 28–29, 29–28)",3
345,2692,2692,"Decision (unanimous) (29–28, 29–27, 29–27)",3
2507,2421,2421,"Decision (unanimous) (30–25, 30–25, 30–25)",3
2188,3685,3685,"Decision (unanimous) (29–28, 29–28, 29–28)",3
1190,125,1190,TKO (punches),2
3161,2314,2314,KO (punches),1
2145,2826,2826,TKO (spinning wheel kick and punches),2
103,215,215,"Decision (unanimous) (30–26, 30–27, 29–28)",3
3351,2752,3351,"Decision (unanimous) (29–27, 29–27, 29–27)",3
798,2478,798,KO (punches),1
243,166,166,TKO (elbows and punches),1
3301,3663,3301,"Decision (unanimous) (29–28, 29–28, 29–28)",3
292,367,367,TKO (punches),1
2245,690,690,KO (punches),1
1560,408,408,KO (spinning back kick),2
1581,83,1581,"Decision (unanimous) (30–27, 29–28, 29–28)",3
541,2153,541,"Decision (unanimous) (30–27, 30–27, 30–27)",3
611,848,611,"Decision (unanimous) (30–27, 30–27, 30–27)",3
1354,45,1354,"Decision (unanimous) (50–44, 50–45, 50–45)",5
930,704,930,"Decision (unanimous) (30–27, 30–27, 29–28)",3
2456,717,717,Technical Submission (guillotine choke),3
864,2508,2508,TKO (punches and elbows),2
3291,3314,3291,TKO (punches),2
2015,590,590,"Decision (unanimous) (30–27, 30–27, 30–27)",3
3562,1410,1410,"Decision (unanimous) (29–27, 29–27, 29–28)",3
1013,1823,1823,"Decision (unanimous) (30–27, 30–27, 29–28)",3
182,3416,3416,TKO (head kick and punches),1
17,616,17,TKO (punches),2
2640,304,304,TKO (punches),2
1556,2761,2761,Submission (guillotine choke),2
900,3439,3439,"Decision (unanimous) (29–28, 29–28, 29–28)",3
699,3340,699,"Decision (split) (28–29, 30–27, 29–28)",3
2815,1980,1980,"Decision (unanimous) (30–26, 30–26, 30–26)",3
1628,3651,1628,KO (head kick and punches),1
1636,462,1636,"Decision (unanimous) (29–28, 30–27, 30–27)",3
1392,892,892,Submission (scarf hold choke),1
1936,1401,1936,"Decision (unanimous) (29–28, 29–28, 30–27)",3
628,3589,628,TKO (rib injury),5
524,2557,524,No Contest (overturned),3
2041,542,542,KO (punch),1
3475,3091,3475,KO (elbows and punches),1
736,1932,736,Submission (armbar),1
3135,1349,1349,"Decision (split) (28–29, 29–28, 29–28)",3
258,1444,1444,Submission (guillotine choke),3
2734,413,413,Submission (armbar),1
82,567,567,TKO (punch and knee),3
617,2269,617,KO (head kick),1
2678,908,908,"Decision (split) (29–28, 28–29, 29–28)",3
2238,2679,2238,TKO (punches),2
3595,184,184,TKO (punches),1
1753,2120,2120,"Decision (unanimous) (29–28, 29–28, 29–28)",3
1305,2708,1305,Submission (kimura),3
2437,1177,1177,"Decision (unanimous) (30–27, 30–27, 30–27)",3
2578,2263,2578,KO (punch),3
179,900,900,"Decision (unanimous) (29–27, 29–27, 29–27)",3
2690,638,638,No Contest (overturned),1
1957,2728,2728,Submission (arm-triangle choke),2
3517,3349,3349,Submission (rear-naked choke),2
213,1434,213,"Decision (unanimous) (30–27, 30–27, 29–28)",3
1992,1625,1992,Submission (rear-naked choke),3
3589,628,628,TKO (rib injury),5
2557,524,524,No Contest (overturned),3
542,2041,542,KO (punch),1
3091,3475,3475,KO (elbows and punches),1
736,1932,736,Submission (armbar),1
1349,3135,1349,"Decision (split) (28–29, 29–28, 29–28)",3
258,1444,1444,Submission (guillotine choke),3
413,2734,413,Submission (armbar),1
82,567,567,TKO (punch and knee),3
2269,617,617,KO (head kick),1
2678,908,908,"Decision (split) (29–28, 28–29, 29–28)",3
2238,2679,2238,TKO (punches),2
2384,2792,2384,TKO (elbows and punches),5
2789,2057,2789,KO (punch),2
1407,2470,2470,Submission (rear-naked choke),3
2191,915,2191,Submission (armbar),1
1579,2711,1579,Submission (guillotine choke),1
139,708,139,"Decision (unanimous) (30–27, 30–27, 29–28)",3
187,3038,187,"Decision (unanimous) (29–28, 29–28, 29–28)",3
3033,2597,2597,"Decision (unanimous) (30–26, 30–27, 30–27)",3
1723,1885,1885,"Decision (unanimous) (30–27, 30–27, 30–27)",3
1170,1610,1170,"Decision (unanimous) (30–27, 30–27, 30–27)",3
59,1700,1700,"Decision (unanimous) (29–27, 29–27, 29–27)",3
2528,1560,1560,"Decision (unanimous) (30–27, 30–27, 30–27)",3
742,653,653,"Decision (unanimous) (29–28, 29–28, 30–27)",3
443,3106,443,Submission (rear-naked choke),1
24,356,356,Submission (guillotine choke),2
3433,3544,3433,Submission (armbar),1
1947,560,1947,Submission (rear-naked choke),2
2190,839,839,"Decision (split) (48–47, 46–49, 48–47)",5
2546,2708,2708,KO (elbow and punches),1
1386,3056,3056,Submission (rear-naked choke),1
20,770,770,TKO (punches),2
2710,1169,2710,KO (punches),1
3445,3600,3600,TKO (doctor stoppage),1
2093,2910,2910,"Decision (unanimous) (30–26, 30–27, 29–28)",3
3382,1507,1507,No Contest (overturned),2
604,2094,2094,"Decision (unanimous) (49–46, 49–46, 48–47)",5
3421,2323,3421,TKO (elbows and punches),1
2762,781,2762,TKO (punches),2
2522,426,2522,TKO (elbows),2
827,772,827,"Decision (unanimous) (30–27, 30–27, 30–27)",3
2512,2081,2512,"Decision (unanimous) (29–28, 29–28, 29–27)",3
1452,1317,1452,Submission (armbar),1
690,2540,690,TKO (punches and knee),1
2344,1780,1780,TKO (punches),2
3524,29,3524,"Decision (unanimous) (29–27, 29–27, 29–28)",3
3135,2528,3135,Submission (guillotine choke),1
688,1360,688,KO (spinning backfist),1
3119,2032,2032,"Decision (unanimous) (30–27, 29–28, 29–28)",3
408,1349,1349,TKO (punch),3
1249,2193,1249,"Decision (unanimous) (30–27, 30–27, 30–27)",3
3347,2821,2821,KO (punch),1
3335,1462,3335,Submission (rear-naked choke),3
228,3663,3663,"Decision (unanimous) (30–26, 30–26, 30–27)",3
2678,83,2678,"Decision (split) (29–28, 28–29, 29–28)",3
2926,401,401,TKO (punches),3
1899,3586,1899,Submission (armbar),1
390,1852,1852,KO (knee and punches),2
1177,3397,1177,"Decision (unanimous) (30–26, 30–27, 30–27)",3
2782,1952,1952,TKO (knee and punches),3
1220,823,1220,"Draw (unanimous) (28–28, 28–28, 28–28)",3
3286,3545,3545,"Decision (unanimous) (48–47, 48–47, 48–47)",5
1216,3529,3529,Submission (armbar),1
2709,891,891,"Decision (split) (28–29, 29–28, 30–27)",3
633,125,633,Submission (triangle choke),1
2349,3052,2349,"Decision (unanimous) (30–27, 30–27, 30–27)",3
542,2023,542,TKO (punches),1
1304,3323,3323,TKO (punch),3
672,2738,2738,No Contest (overturned),1
586,166,166,TKO (punches),1
907,1197,907,"Decision (unanimous) (30–27, 30–27, 29–28)",3
2485,343,343,TKO (punches),2
1599,608,1599,"Decision (unanimous) (30–27, 30–27, 29–28)",3
3145,866,866,"Decision (unanimous) (30–27, 30–27, 29–28)",3
505,3587,3587,"Decision (unanimous) (30–27, 30–27, 30–27)",3
948,267,948,Technical Submission (rear-naked choke),1
1069,1307,1307,Submission (heel hook),1
746,967,967,"Decision (unanimous) (30–27, 29–28, 29–28)",3
670,486,670,Submission (kneebar),1
2413,160,160,"Decision (unanimous) (29–28, 29–28, 29–28)",3
774,1401,774,TKO (knee and punches),1
2241,700,700,"Decision (unanimous) (30–26, 30–27, 29–27)",3
1480,1447,1480,"Decision (unanimous) (29–28, 29–28, 29–28)",3
1139,37,37,Submission (triangle choke),1
2606,3331,3331,"Decision (unanimous) (30–27, 30–27, 29–28)",3
1567,1402,1567,"Decision (unanimous) (49–46, 49–46, 48–47)",5
859,277,859,"Decision (unanimous) (29–28, 29–28, 29–28)",3
2677,3111,2677,"Decision (unanimous) (30–27, 30–27, 29–28)",3
1998,2849,2849,"Decision (unanimous) (30–27, 30–27, 30–26)",3
2617,1732,1732,"Decision (unanimous) (30–27, 30–27, 29–28)",3
542,2507,542,Submission (D'Arce choke),2
2207,2605,2207,TKO (punches),1
415,2068,415,TKO (elbows),1
1137,964,1137,"Decision (unanimous) (30–26, 30–26, 30–26)",3
259,1499,1499,Submission (armbar),1
2953,2505,2953,Submission (rear-naked choke),2
1971,3371,3371,"Decision (unanimous) (50–45, 50–45, 49–46)",5
3459,1351,3459,"Decision (split) (47–48, 48–47, 48–47)",5
48,3622,3622,TKO (punches),5
114,2239,2239,"Decision (split) (29–28, 28–29, 29–28)",3
3398,2646,2646,Submission (armbar),1
2560,2332,2560,KO (punch),2
3664,2804,2804,"Decision (split) (30–27, 28–29, 29–28)",3
103,1301,103,Technical Submission (anaconda choke),1
324,2843,2843,"Decision (unanimous) (29–26, 29–26, 29–26)",3
1190,3351,3351,"Decision (unanimous) (30–27, 30–27, 30–26)",3
2401,3684,2401,"Decision (unanimous) (29–28, 29–28, 29–28)",3
2742,2051,2742,"Decision (unanimous) (30–26, 30–26, 30–27)",3
1168,702,1168,KO (punch),3
1368,2531,2531,"Decision (unanimous) (48–47, 48–47, 48–46)",5
1040,2484,2484,"Decision (unanimous) (29–28, 29–28, 29–28)",3
1180,3444,1180,Submission (arm-triangle choke),3
67,689,67,"Decision (unanimous) (29–28, 29–27, 30–27)",3
3579,2870,2870,TKO (punches),1
883,3592,883,Submission (D’Arce choke),3
2457,3595,3595,Submission (guillotine choke),3
343,1810,343,KO (punches),1
1013,1248,1248,Submission (armbar),3
1185,3663,3663,"Decision (unanimous) (29–28, 29–28, 29–28)",3
313,3461,313,"Decision (unanimous) (49–46, 48–47, 48–46)",5
871,419,871,"Decision (unanimous) (29–28, 29–28, 29–27)",3
2637,2464,2464,"Decision (unanimous) (30–27, 29–28, 29–28)",3
2184,1133,2184,"Decision (unanimous) (29–28, 29–28, 29–28)",3
2690,2081,2081,Submission (armbar),1
1177,1203,1177,"Decision (unanimous) (29–28, 29–28, 30–27)",3
229,2515,229,No Contest (overturned),2
2692,501,2692,Submission (rear-naked choke),3
451,1462,1462,TKO (punches),1
2120,2205,2205,"Decision (unanimous) (30–27, 30–27, 29–28)",3
2723,1386,1386,TKO (retirement),2
910,449,449,"Decision (unanimous) (49–46, 49–46, 48–47)",5
3430,2685,3430,Submission (rear-naked choke),1
22,2741,2741,"Decision (split) (28–29, 29–28, 29–28)",3
1520,954,954,"Decision (split) (28–29, 29–28, 29–28)",3
709,893,893,"Decision (unanimous) (30–27, 30–27, 30–26)",3
20,560,20,Submission (rear-naked choke),1
1835,827,827,"Decision (unanimous) (30–26, 30–26, 30–25)",3
1991,179,179,TKO (punches),1
16,2238,2238,KO (punch),1
1434,24,24,TKO (punches),1
3096,2308,2308,"Decision (unanimous) (50–44, 50–44, 50–45)",5
1054,169,1054,KO (punch),2
2826,3130,3130,Submission (rear-naked choke),1
1885,1946,1885,"Decision (unanimous) (30–27, 30–27, 29–28)",3
3574,2323,2323,KO (punch),1
1369,443,443,"Decision (unanimous) (30–27, 30–27, 30–27)",3
2041,1289,1289,TKO (punches),1
3111,1579,3111,"Decision (unanimous) (30–27, 30–27, 30–27)",3
439,2528,2528,TKO (punches),2
2477,985,2477,TKO (leg kicks),1
566,2057,566,"Decision (unanimous) (30–27, 29–28, 29–28)",3
818,426,426,Submission (rear-naked choke),1
424,3589,424,"Decision (unanimous) (50–45, 50–44, 50–44)",5
2792,1433,2792,"Decision (split) (27–30, 29–28, 29–28)",3
481,2578,2578,"Decision (unanimous) (29–28, 29–28, 29–28)",3
2690,3517,2690,Submission (rear-naked choke),2
736,560,736,Submission (kneebar),1
2940,522,522,"Decision (unanimous) (30–25, 30–25, 30–25)",3
1334,11,1334,No Contest (overturned),1
2761,859,2761,Submission (arm-triangle choke),2
1587,3046,1587,Submission (guillotine choke),1
1220,2152,1220,TKO (leg kicks),2
1259,2384,2384,TKO (punches),2
1030,1332,1030,"Decision (split) (28–29, 29–28, 29–28)",3
215,1402,1402,"Decision (split) (28–29, 29–28, 29–28)",3
1518,107,1518,"Decision (unanimous) (30–27, 29–28, 29–28)",3
3061,3421,3061,"Decision (unanimous) (29–28, 29–28, 29–28)",3
387,192,192,TKO (punches),2
1349,1310,1349,TKO (knees and punches),1
2678,541,541,"Decision (unanimous) (30–26, 30–27, 30–27)",3
1703,856,1703,"Decision (unanimous) (29–28, 30–27, 30–27)",3
2734,501,501,Submission (armbar),1
1988,2245,2245,Submission (rear-naked choke),2
3249,3033,3249,TKO (punches),5
2752,2789,2752,"Decision (split) (28–29, 29–28, 29–28)",3
769,1309,769,TKO (punches),2
338,2999,2999,"Decision (split) (28–29, 29–28, 29–28)",3
145,1810,145,"Decision (unanimous) (30–27, 30–27, 29–28)",3
1488,2124,2124,Submission (achilles lock),2
2155,900,900,"Decision (unanimous) (30–27, 30–27, 30–26)",3
2153,270,2153,"Decision (unanimous) (30–27, 29–28, 29–28)",3
1579,187,1579,KO (punches),2
2938,3445,2938,TKO (elbow and punches),2
1033,933,1033,TKO (punch),5
647,519,519,TKO (knee and punches),2
2762,2273,2273,KO (punches),1
1567,3129,1567,KO (elbows),2
704,1255,1255,"Decision (unanimous) (30–27, 30–27, 30–27)",3
524,2497,2497,"Decision (unanimous) (29–28, 29–28, 29–28)",3
2557,1852,1852,TKO (doctor stoppage),3
2741,2107,2107,"Decision (unanimous) (30–25, 30–25, 30–24)",3
3091,95,3091,"Decision (split) (29–28, 28–29, 29–28)",3
2730,2700,2730,KO (punches),3
1397,313,313,"Decision (unanimous) (30–26, 30–26, 29–27)",3
161,3339,3339,TKO (punches and elbows),1
1980,1784,1980,"Decision (unanimous) (29–28, 30–26, 30–26)",3
1858,391,1858,"Decision (split) (29–28, 28–29, 29–28)",3
3554,17,17,TKO (knees and punches),2
1586,3459,3459,TKO (punches and elbows),2
985,2274,985,Technical Submission (rear-naked choke),3
1339,2449,2449,"Decision (unanimous) (30–27, 30–27, 29–28)",3
1529,8,1529,"Decision (unanimous) (29–28, 29–27, 28–27)",3
1870,107,1870,"Decision (split) (48–47, 47–48, 49–46)",5
2939,445,2939,Submission (rear-naked choke),2
1178,2553,2553,"Decision (unanimous) (30–27, 29–28, 29–28)",3
1492,1110,1492,"Decision (unanimous) (30–27, 29–28, 29–28)",3
3421,2994,2994,"Decision (unanimous) (30–27, 30–27, 30–27)",3
2844,3033,2844,TKO (body kick and punches),2
2032,2144,2144,"Decision (split) (28–29, 29–28, 29–28)",3
2437,1226,2437,"Decision (unanimous) (30–25, 30–27, 30–27)",3
3433,3133,3433,Submission (rear-naked choke),1
3077,42,42,TKO (body kick and punches),1
948,2151,948,TKO (punches),2
954,282,954,"Decision (split) (29–28, 27–30, 29–28)",3
2665,1094,1094,TKO (punches),1
769,451,769,"Decision (unanimous) (29–28, 29–28, 30–27)",3
1641,1177,1177,"Decision (unanimous) (29–28, 29–28, 29–28)",3
2466,258,258,TKO (body punch),1
522,2734,522,"Decision (unanimous) (29–28, 29–28, 30–27)",3
1932,1797,1932,"Decision (unanimous) (30–27, 30–27, 30–27)",3
1610,1625,1610,"Decision (split) (29–28, 28–29, 30–27)",3
2512,2978,2512,"Decision (unanimous) (29–28, 29–28, 29–28)",3
2557,3174,2557,Submission (rear-naked choke),2
2826,147,2826,TKO (punches),2
2094,2273,2094,"Decision (unanimous) (50–44, 50–44, 50–44)",5
604,2332,604,TKO (punches),2
419,1567,1567,TKO (punches),3
232,3444,3444,"Decision (split) (30–27, 28–29, 30–27)",3
981,75,981,TKO (head kick and punches),2
697,320,320,"Decision (unanimous) (29–28, 29–28, 30–27)",3
1361,2617,2617,KO (punch),1
2413,2373,2373,"Decision (unanimous) (29–28, 29–28, 29–28)",3
1402,140,140,"Decision (unanimous) (30–27, 30–27, 29–28)",3
289,235,235,"Decision (unanimous) (30–27, 29–28, 29–28)",3
3283,1903,1903,KO (punch),1
3398,567,567,"Decision (unanimous) (30–27, 29–28, 29–28)",3
856,1488,856,Submission (rear-naked choke),2
1662,3537,1662,"Decision (unanimous) (29–28, 29–28, 29–28)",3
45,284,45,"Decision (unanimous) (30–27, 30–27, 30–27)",3
910,923,910,"Decision (split) (29–28, 28–29, 29–28)",3
3244,49,49,"Decision (unanimous) (29–28, 29–28, 29–28)",3
422,2836,422,"Decision (unanimous) (29–28, 29–28, 29–28)",3
1536,1354,1536,"Decision (unanimous) (49–46, 48–47, 48–47)",5
2313,215,2313,"Decision (unanimous) (30–25, 30–25, 30–24)",3
1368,746,1368,Submission (guillotine choke),3
891,449,891,"Decision (unanimous) (29–28, 29–28, 29–28)",3
590,1885,1885,"Decision (unanimous) (30–27, 30–27, 29–28)",3
2754,2345,2345,No Contest (overturned),3
1535,1102,1535,"Decision (unanimous) (30–27, 30–27, 30–27)",3
29,3430,3430,"Draw (majority) (28–28, 29–28, 28–28)",3
2279,3046,2279,"Decision (unanimous) (30–26, 30–26, 30–25)",3
709,859,859,Submission (anaconda choke),2
780,1723,780,"Decision (unanimous) (50–45, 50–45, 50–45)",5
1700,871,871,KO (punch),1
2537,2484,2537,"Decision (unanimous) (29–28, 29–28, 29–28)",3
562,3249,3249,TKO (punches),1
304,468,304,"Decision (unanimous) (29–28, 29–28, 29–28)",3
3135,1937,1937,Submission (guillotine choke),2
323,1708,1708,TKO (punches),1
2689,3217,3217,"KO (head kick, elbow and punch)",1
3330,1902,1902,"Decision (unanimous) (30–27, 30–27, 30–27)",3
203,742,742,KO (knee),2
2045,2973,2045,"Decision (unanimous) (30–26, 30–27, 30–27)",3
2370,3187,2370,Submission (guillotine choke),2
270,1635,270,"Decision (unanimous) (30–26, 30–26, 29–27)",3
3130,2145,2145,KO (knee),1
1370,1360,1360,"Decision (unanimous) (30–27, 30–27, 30–27)",3
2150,1834,1834,"Decision (unanimous) (30–27, 29–28, 29–28)",3
696,483,696,"Decision (split) (29–28, 28–29, 29–28)",3
2824,3079,3079,TKO (punches),2
1478,2477,2477,Submission (D'Arce choke),2
827,2782,2782,"Decision (split) (28–29, 29–28, 29–28)",3
42,2475,2475,"Decision (unanimous) (30–27, 29–28, 29–28)",3
2606,1195,2606,Submission (rear-naked choke),3
1092,2265,1092,TKO (punches),3
48,1351,1351,TKO (punches),3
2273,2384,2273,KO (punch),1
519,2498,519,"Decision (unanimous) (30–27, 30–27, 30–27)",3
88,1033,88,KO (knee),3
929,2347,929,TKO (elbows),2
2033,2349,2033,TKO (punches),3
3261,1633,3261,"Decision (unanimous) (30–27, 30–27, 29–28)",3
1317,501,1317,"Decision (split) (29–28, 28–29, 29–28)",3
1884,597,597,TKO (punches),2
2617,1361,2617,TKO (punches),1
2640,1616,2640,Submission (rear-naked choke),1
642,3567,3567,KO (punch),1
2120,2135,2135,"Decision (unanimous) (50–45, 49–46, 49–46)",5
3498,2323,2323,"Decision (unanimous) (29–28, 29–28, 29–28)",3
1363,2205,2205,"Decision (split) (29–28, 28–29, 29–28)",3
2041,3100,2041,TKO (body kick),2
913,273,273,"Draw (majority) (29–27, 28–28, 28–28)",3
1480,3077,1480,Submission (calf slicer),1
708,1933,708,Submission (armbar),1
1453,2821,1453,TKO (punches),3
2378,1080,2378,Submission (armbar),1
249,770,770,TKO (punches),2
2692,3544,2692,Submission (armbar),1
301,1069,1069,KO (punch),1
1784,2381,1784,TKO (punches),1
1198,443,1198,"Decision (split) (28–29, 29–28, 29–28)",3
2804,1058,1058,Submission (rear-naked choke),2
2146,1892,1892,Submission (anaconda choke),3
3060,2246,3060,TKO (punches),1
662,3621,3621,"Decision (unanimous) (29–28, 29–28, 30–27)",3
1548,3061,3061,Submission (guillotine choke),1
6,2938,6,KO (punch),1
1991,3602,1991,"Decision (unanimous) (30–27, 30–27, 30–27)",3
1383,161,161,Submission (rear-naked choke),2
3351,3529,3529,"Decision (unanimous) (50–45, 50–45, 49–46)",5
567,2613,567,"Decision (split) (29–28, 28–29, 29–28)",3
2184,2032,2184,"Decision (split) (29–28, 28–29, 29–28)",3
3414,1980,1980,"Decision (split) (29–28, 28–29, 29–28)",3
3651,3459,3459,"Decision (unanimous) (30–27, 30–26, 30–26)",3
277,2126,277,KO (head kick),3
384,1767,1767,Submission (guillotine choke),2
624,3339,3339,KO (flying knee),1
451,391,451,"Decision (split) (28–29, 30–27, 29–28)",3
1562,528,1562,"Decision (unanimous) (29–28, 29–27, 29–27)",3
2936,1718,2936,"Decision (unanimous) (30–27. 30–26, 30–25)",3
1241,3547,3547,"Decision (unanimous) (29–28, 29–28, 29–28)",3
2531,2497,2531,Submission (body triangle),3
387,2815,387,KO (elbow),1
145,39,145,"Decision (unanimous) (29–28, 30–27, 30–27)",3
940,1935,940,"Decision (split) (28–29, 29–28, 29–28)",3
169,1833,169,KO (punch),3
1203,1719,1203,TKO (punches and elbows),1
2145,772,2145,"Decision (split) (30–27, 27–30, 30–27)",3
3167,2469,3167,"Decision (unanimous) (30–27, 30–27, 30–26)",3
2584,2299,2299,"Decision (unanimous) (30–27, 30–27, 30–27)",3
2309,1332,2309,"Decision (unanimous) (29–28, 29–28, 29–28)",3
3160,2015,3160,"Decision (unanimous) (30–27, 29–28, 29–28)",3
586,988,586,"Decision (unanimous) (30–27, 29–28, 29–28)",3
2685,3135,2685,Submission (rear-naked choke),1
301,3107,3107,Technical Submission (rear-naked choke),3
1054,759,759,TKO (punches),2
1463,2239,2239,TKO (punches),1
1971,3279,3279,"Decision (unanimous) (30–26, 30–27, 30–27)",3
616,1296,616,TKO (punches),2
1103,1259,1103,DQ (illegal head kick),1
108,2789,2789,KO (head kick),3
1040,390,390,"Decision (unanimous) (29–28, 29–28, 29–27)",3
2605,3661,2605,KO (spinning back elbow),3
1870,401,401,KO (punches),1
628,1898,628,"Decision (unanimous) (29–27, 30–27, 30–26)",3
981,2190,2190,Submission (guillotine choke),1
3323,2081,3323,"Decision (unanimous) (29–28, 29–28, 29–28)",3
2844,1307,2844,TKO (jumping body kick and punches),1
3421,1807,1807,"Decision (unanimous) (30–27, 29–28, 29–28)",3
1852,2557,1852,Submission (D'arce choke),2
1943,480,480,Submission (rear-naked choke),1
1137,750,1137,"Decision (unanimous) (29–26, 29–27, 30–26)",3
1184,3664,3664,"Decision (unanimous) (29–28, 29–27, 29–28)",3
948,385,948,"Decision (split) (27–30, 29–28, 29–28)",3
587,1110,1110,Submission (rear-naked choke),1
3286,524,3286,TKO (punches),1
1659,894,1659,"Decision (unanimous) (30–27, 30–27, 30–27)",3
304,566,304,Submission (rear-naked choke),2
3570,2515,2515,"Decision (unanimous) (30–27, 30–27, 30–27)",3
1249,1290,1290,"Decision (unanimous) (30–27, 30–27, 30–27)",3
3120,1579,1579,TKO (punches),3
866,95,866,"Decision (unanimous) (30–27, 30–27, 30–27)",3
954,1816,954,"Decision (unanimous) (30–27, 30–27, 30–27)",3
3313,93,93,"Decision (unanimous) (30–27, 29–28, 29–28)",3
1706,1693,1693,TKO (punches),2
137,871,871,"Decision (unanimous) (30–26, 30–26, 30–25)",3
933,1751,933,Submission (triangle choke),3
1487,338,1487,Submission (flying armbar),5
1259,3529,3529,Submission (armbar),1
2734,923,2734,Submission (rear-naked choke),1
818,688,688,"Draw (majority) (29–28, 28–28, 28–28)",3
3111,820,3111,"Decision (split) (29–28, 28–29, 30–27)",3
3397,1177,3397,"Draw (split) (29–27, 27–29, 28–28)",3
1130,345,345,"Decision (unanimous) (30–27, 30–27, 30–27)",3
266,2891,2891,"Decision (unanimous) (30–27, 29–28, 30–27)",3
3237,1761,3237,"Decision (unanimous) (30–27, 30–26, 30–26)",3
2789,2339,2789,Technical Submission (Von Flue choke),1
1030,114,114,"Decision (unanimous) (30–25, 30–26, 30–27)",3
1120,1858,1858,TKO (punches),1
669,2795,2795,KO (punch),1
830,1425,1425,"Decision (unanimous) (28–27, 28–27, 29–27)",3
2167,2230,2230,"Decision (split) (29–28, 28–29, 29–28)",3
1470,1647,1647,"Decision (split) (28–29, 30–27, 30–27)",3
130,1529,130,"Decision (unanimous) (29–28, 29–28, 30–27)",3
1796,8,8,"Decision (unanimous) (29–28, 29–28, 29–28)",3
361,2700,2700,Submission (strikes),2
2484,2641,2484,KO (knee),1
3033,1821,3033,TKO (punches),3
1129,1094,1094,Submission (arm-triangle choke),2
2144,3371,3371,KO (punch),1
173,1946,173,"Decision (split) (28–29, 29–28, 29–28)",3
1241,3102,3102,TKO (punches),1
1518,1231,1231,KO (punches),2
424,2785,424,KO (punch),2
2308,2939,2308,"Decision (split) (47–48, 48–47, 48–47)",5
1885,780,780,Submission (arm-triangle choke),1
2630,519,519,TKO (punches),2
